Experiment,Memory,Runtime,Detection delay,TP,FP,FN,Parameter
ADWIN,6656.0,83.93505799904233,,0.0,1.0,0.0,0.0
BWAF,1024.0,107.59709000194562,,0.0,2.0,0.0,0.0
CDDM,8944.0,100.32502000103705,,0.0,0.0,0.0,0.0
CUSUM,880.0,38.973275000898866,,0.0,1.0,0.0,0.0
DDM,904.0,37.546714000200154,,0.0,1.0,0.0,0.0
EDDM,1440.0,34.737748002953595,,0.0,6.0,0.0,0.0
EWMA,960.0,40.48231399792712,,0.0,2.0,0.0,0.0
FHDDM,1744.0,36.13640200273949,,0.0,0.0,0.0,0.0
FHDDMS,1920.0,50.875452001491794,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,42.834415999095654,,0.0,0.0,0.0,0.0
HDDM.A.test,1296.0,48.739124002167955,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,53.185770000709454,,0.0,0.0,0.0,0.0
MDDM.A.100,1976.0,90.93791100167437,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,66.47950299884542,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,67.83779800025513,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,33.18214699902455,,0.0,0.0,0.0,0.0
PageHinkley,960.0,35.474253996653715,,0.0,1.0,0.0,0.0
RDDM,64024.0,52.8338599979179,,0.0,1.0,0.0,0.0
SeqDrift2,30272.0,59.147675998246996,,0.0,1.0,0.0,0.0
ADWIN,6600.0,65.47562199921231,,0.0,1.0,0.0,0.0
BWAF,1024.0,100.14303000207292,,0.0,2.0,0.0,0.0
CDDM,8944.0,93.71887000088464,,0.0,0.0,0.0,0.0
CUSUM,880.0,36.868788996798685,,0.0,1.0,0.0,0.0
DDM,904.0,36.93011900031706,,0.0,1.0,0.0,0.0
EDDM,1472.0,34.02759000164224,,0.0,5.0,0.0,0.0
EWMA,960.0,41.149280998070026,,0.0,5.0,0.0,0.0
FHDDM,1744.0,41.40084400205524,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,51.70883200116805,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,40.0995400013926,,0.0,1.0,0.0,0.0
HDDM.A.test,1296.0,49.81556799975806,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,54.557169998588506,,0.0,0.0,0.0,0.0
MDDM.A.100,1976.0,88.6416140019719,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,67.1927829971537,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,73.79344100263552,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,33.55819499847712,,0.0,0.0,0.0,0.0
PageHinkley,960.0,35.46740200181375,,0.0,1.0,0.0,0.0
RDDM,63976.0,39.19845299969893,,0.0,2.0,0.0,0.0
SeqDrift2,30272.0,47.17705599978217,,0.0,1.0,0.0,0.0
ADWIN,6536.0,66.63081000078819,,0.0,1.0,0.0,0.0
BWAF,1024.0,101.40933599905111,,0.0,1.0,0.0,0.0
CDDM,8944.0,100.25673899872345,,0.0,0.0,0.0,0.0
CUSUM,880.0,40.224173997557955,,0.0,1.0,0.0,0.0
DDM,904.0,37.575648002530215,,0.0,2.0,0.0,0.0
EDDM,1472.0,36.250064997148,,0.0,3.0,0.0,0.0
EWMA,960.0,42.757790000905516,,0.0,3.0,0.0,0.0
FHDDM,1744.0,38.18464899813989,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,50.87412899956689,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,39.35889299827977,,0.0,1.0,0.0,0.0
HDDM.A.test,1264.0,48.23302200020407,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,53.022128999145934,,0.0,0.0,0.0,0.0
MDDM.A.100,1976.0,96.5804389998084,,0.0,0.0,0.0,0.0
MDDM.E.100,1968.0,69.9216949979018,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,70.85659199947258,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,47.33157599912374,,0.0,0.0,0.0,0.0
PageHinkley,960.0,35.540393997507636,,0.0,1.0,0.0,0.0
RDDM,63976.0,39.64198399989982,,0.0,1.0,0.0,0.0
SeqDrift2,30272.0,59.3552099999215,,0.0,1.0,0.0,0.0
ADWIN,6504.0,77.42406800025492,,0.0,1.0,0.0,0.0
BWAF,1024.0,98.65545500360895,,0.0,1.0,0.0,0.0
CDDM,8944.0,92.4190149999049,,0.0,0.0,0.0,0.0
CUSUM,880.0,37.30119899773854,,0.0,1.0,0.0,0.0
DDM,904.0,38.40915700129699,,0.0,1.0,0.0,0.0
EDDM,1440.0,35.19985899765743,,0.0,3.0,0.0,0.0
EWMA,960.0,40.831802998582134,,0.0,3.0,0.0,0.0
FHDDM,1744.0,38.43019299893058,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,52.977733001171146,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,39.76056299870834,,0.0,0.0,0.0,0.0
HDDM.A.test,1296.0,50.559840001369594,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,52.74734299746342,,0.0,1.0,0.0,0.0
MDDM.A.100,1976.0,94.56491899982211,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,69.81342200015206,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,71.75500499943155,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,33.990175998042105,,0.0,0.0,0.0,0.0
PageHinkley,960.0,35.14455399999861,,0.0,1.0,0.0,0.0
RDDM,64024.0,39.65763700034586,,0.0,1.0,0.0,0.0
SeqDrift2,30272.0,45.60115599815617,,0.0,1.0,0.0,0.0
ADWIN,6592.0,66.27042100080871,,0.0,1.0,0.0,0.0
BWAF,1024.0,100.96338899893453,,0.0,2.0,0.0,0.0
CDDM,8944.0,110.07428799712216,,0.0,0.0,0.0,0.0
CUSUM,880.0,44.07135899964487,,0.0,1.0,0.0,0.0
DDM,904.0,37.4785640015034,,0.0,1.0,0.0,0.0
EDDM,1440.0,35.757150002609706,,0.0,6.0,0.0,0.0
EWMA,960.0,42.425149000337115,,0.0,5.0,0.0,0.0
FHDDM,1744.0,41.30908300066949,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,56.45376100073918,,0.0,1.0,0.0,0.0
FHDDMS.add,1240.0,40.6202879967168,,0.0,1.0,0.0,0.0
HDDM.A.test,1232.0,50.024921001750045,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,64.36154099719715,,0.0,1.0,0.0,0.0
MDDM.A.100,1976.0,92.93821099709021,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,68.59009999971022,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,72.0840110006975,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,33.91136199934408,,0.0,0.0,0.0,0.0
PageHinkley,960.0,38.55153699987568,,0.0,1.0,0.0,0.0
RDDM,63992.0,42.28181999860681,,0.0,1.0,0.0,0.0
SeqDrift2,30272.0,48.64255899883574,,0.0,1.0,0.0,0.0
ADWIN,6656.0,84.20580399979372,,0.0,1.0,0.0,0.0
BWAF,1024.0,101.04762099945219,,0.0,2.0,0.0,0.0
CDDM,8944.0,100.09185799935949,,0.0,0.0,0.0,0.0
CUSUM,880.0,38.29428799872403,,0.0,1.0,0.0,0.0
DDM,904.0,39.96182400078396,,0.0,1.0,0.0,0.0
EDDM,1472.0,36.872153999865986,,0.0,7.0,0.0,0.0
EWMA,960.0,43.50464099843521,,0.0,2.0,0.0,0.0
FHDDM,1744.0,37.86380400197231,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,62.32343800002127,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,40.903907000028994,,0.0,1.0,0.0,0.0
HDDM.A.test,1232.0,50.11252300027991,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,52.87344899988966,,0.0,0.0,0.0,0.0
MDDM.A.100,1328.0,96.40076099822181,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,68.5105240008852,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,75.02545899842517,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,35.44153500115499,,0.0,0.0,0.0,0.0
PageHinkley,960.0,45.36358900077175,,0.0,1.0,0.0,0.0
RDDM,64024.0,40.177915998356184,,0.0,1.0,0.0,0.0
SeqDrift2,30272.0,45.384173001366435,,0.0,1.0,0.0,0.0
ADWIN,6656.0,64.78135900033521,,0.0,1.0,0.0,0.0
BWAF,1024.0,99.95121800238849,,0.0,1.0,0.0,0.0
CDDM,8944.0,95.66091999658966,,0.0,0.0,0.0,0.0
CUSUM,880.0,36.47451999859186,,0.0,1.0,0.0,0.0
DDM,904.0,37.489526002900675,,0.0,2.0,0.0,0.0
EDDM,1472.0,47.37569500139216,,0.0,5.0,0.0,0.0
EWMA,960.0,42.674129999795696,,0.0,5.0,0.0,0.0
FHDDM,1744.0,37.64927600059309,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,51.9615339981101,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,41.05443899970851,,0.0,1.0,0.0,0.0
HDDM.A.test,1232.0,49.94559699844103,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,54.935170999669936,,0.0,0.0,0.0,0.0
MDDM.A.100,1976.0,95.17925700129126,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,70.19149600091623,,0.0,0.0,0.0,0.0
MDDM.G.100,1968.0,69.01885899787885,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,33.2143570012704,,0.0,0.0,0.0,0.0
PageHinkley,960.0,35.71766900131479,,0.0,1.0,0.0,0.0
RDDM,64024.0,40.06646800189628,,0.0,1.0,0.0,0.0
SeqDrift2,30272.0,46.18457499964279,,0.0,1.0,0.0,0.0
ADWIN,6632.0,65.89736400201218,,0.0,1.0,0.0,0.0
BWAF,1024.0,99.72656999889296,,0.0,4.0,0.0,0.0
CDDM,8944.0,99.62757700122893,,0.0,0.0,0.0,0.0
CUSUM,880.0,38.81529800128192,,0.0,1.0,0.0,0.0
DDM,904.0,37.69771400038735,,0.0,1.0,0.0,0.0
EDDM,1472.0,34.27218599972548,,0.0,2.0,0.0,0.0
EWMA,960.0,40.5552459997125,,0.0,3.0,0.0,0.0
FHDDM,1744.0,35.57182599979569,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,51.011925999773666,,0.0,0.0,0.0,0.0
FHDDMS.add,1224.0,39.97663200061652,,0.0,0.0,0.0,0.0
HDDM.A.test,1296.0,60.19174099856173,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,51.698220002435846,,0.0,0.0,0.0,0.0
MDDM.A.100,1976.0,88.90600299855578,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,64.59524800084182,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,67.14414200177998,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,35.04280000197468,,0.0,0.0,0.0,0.0
PageHinkley,960.0,35.69533299742034,,0.0,1.0,0.0,0.0
RDDM,64024.0,39.91131399743608,,0.0,2.0,0.0,0.0
SeqDrift2,30272.0,64.99579799856292,,0.0,1.0,0.0,0.0
ADWIN,6592.0,68.4165140010009,,0.0,1.0,0.0,0.0
BWAF,1024.0,114.11305299770902,,0.0,1.0,0.0,0.0
CDDM,8944.0,113.1916310005181,,0.0,0.0,0.0,0.0
CUSUM,880.0,40.81219600266195,,0.0,1.0,0.0,0.0
DDM,904.0,46.13771000003908,,0.0,1.0,0.0,0.0
EDDM,1472.0,41.70604500177433,,0.0,4.0,0.0,0.0
EWMA,960.0,55.70173999876715,,0.0,4.0,0.0,0.0
FHDDM,1744.0,44.16975600179285,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,62.07659700157819,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,50.05181999877095,,0.0,1.0,0.0,0.0
HDDM.A.test,1296.0,57.628948998171836,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,59.71824699736317,,0.0,0.0,0.0,0.0
MDDM.A.100,1976.0,98.3185240002058,,0.0,0.0,0.0,0.0
MDDM.E.100,1968.0,77.9461040001479,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,74.61078900087159,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,37.700894001318375,,0.0,0.0,0.0,0.0
PageHinkley,960.0,41.5422510013741,,0.0,1.0,0.0,0.0
RDDM,64024.0,46.94653300248319,,0.0,1.0,0.0,0.0
SeqDrift2,30272.0,50.85840799802099,,0.0,1.0,0.0,0.0
ADWIN,6592.0,72.37030800024513,,0.0,1.0,0.0,0.0
BWAF,1024.0,114.02115999953821,,0.0,2.0,0.0,0.0
CDDM,8944.0,135.52318700021715,,0.0,0.0,0.0,0.0
CUSUM,880.0,40.54292200089549,,0.0,1.0,0.0,0.0
DDM,904.0,42.290449997381074,,0.0,2.0,0.0,0.0
EDDM,1472.0,40.246533000754425,,0.0,2.0,0.0,0.0
EWMA,960.0,45.339145999605535,,0.0,4.0,0.0,0.0
FHDDM,1744.0,41.42001600121148,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,57.419669999944745,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,44.95866100114654,,0.0,0.0,0.0,0.0
HDDM.A.test,1264.0,55.67841600350221,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,58.097691002330976,,0.0,0.0,0.0,0.0
MDDM.A.100,1976.0,94.07169000041904,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,72.80511200224282,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,72.99944700207561,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,37.95837999859941,,0.0,0.0,0.0,0.0
PageHinkley,960.0,41.11516400007531,,0.0,1.0,0.0,0.0
RDDM,64024.0,46.97508200115408,,0.0,1.0,0.0,0.0
SeqDrift2,30272.0,62.59143799979938,,0.0,1.0,0.0,0.0
ADWIN,6592.0,66.27465999918059,,0.0,1.0,0.0,0.05210526315789474
BWAF,1024.0,101.22532500099624,,0.0,5.0,0.0,0.05210526315789474
CDDM,8944.0,100.00278300140053,,0.0,0.0,0.0,0.05210526315789474
CUSUM,880.0,38.964166000369005,,0.0,1.0,0.0,0.05210526315789474
DDM,904.0,40.865073999157175,,0.0,3.0,0.0,0.05210526315789474
EDDM,1440.0,35.39569200074766,,0.0,6.0,0.0,0.05210526315789474
EWMA,960.0,45.71804200168117,,0.0,8.0,0.0,0.05210526315789474
FHDDM,1744.0,49.286162000498734,,0.0,0.0,0.0,0.05210526315789474
FHDDMS,1920.0,52.502744998491835,,0.0,0.0,0.0,0.05210526315789474
FHDDMS.add,1224.0,41.2692239988246,,0.0,1.0,0.0,0.05210526315789474
HDDM.A.test,1296.0,50.53722299999208,,0.0,1.0,0.0,0.05210526315789474
HDDM.W.test,2520.0,52.289105999079766,,0.0,0.0,0.0,0.05210526315789474
MDDM.A.100,1976.0,103.01981000156957,,0.0,1.0,0.0,0.05210526315789474
MDDM.E.100,1968.0,66.47302599958493,,0.0,0.0,0.0,0.05210526315789474
MDDM.G.100,1968.0,71.65162100136513,,0.0,0.0,0.0,0.05210526315789474
NO_DETECTION,320.0,39.21237699978519,,0.0,0.0,0.0,0.05210526315789474
PageHinkley,960.0,36.485216001892695,,0.0,1.0,0.0,0.05210526315789474
RDDM,64024.0,40.3997800021898,,0.0,1.0,0.0,0.05210526315789474
SeqDrift2,30272.0,48.24065600041649,,0.0,1.0,0.0,0.05210526315789474
ADWIN,6536.0,65.77314500100329,,0.0,1.0,0.0,0.05210526315789474
BWAF,1024.0,100.82050200071535,,0.0,4.0,0.0,0.05210526315789474
CDDM,8944.0,97.15716299979249,,0.0,0.0,0.0,0.05210526315789474
CUSUM,880.0,42.33806100091897,,0.0,1.0,0.0,0.05210526315789474
DDM,904.0,40.155447997676674,,0.0,2.0,0.0,0.05210526315789474
EDDM,1472.0,37.323675001971424,,0.0,4.0,0.0,0.05210526315789474
EWMA,960.0,41.58216699943296,,0.0,8.0,0.0,0.05210526315789474
FHDDM,1744.0,39.92360800111783,,0.0,1.0,0.0,0.05210526315789474
FHDDMS,1920.0,54.542568999750074,,0.0,1.0,0.0,0.05210526315789474
FHDDMS.add,1224.0,43.077762002212694,,0.0,0.0,0.0,0.05210526315789474
HDDM.A.test,1296.0,49.49645400120062,,0.0,1.0,0.0,0.05210526315789474
HDDM.W.test,2520.0,59.47664500126848,,0.0,0.0,0.0,0.05210526315789474
MDDM.A.100,1976.0,92.6805390008667,,0.0,0.0,0.0,0.05210526315789474
MDDM.E.100,1968.0,65.32117700044182,,0.0,1.0,0.0,0.05210526315789474
MDDM.G.100,1968.0,75.24572599868407,,0.0,1.0,0.0,0.05210526315789474
NO_DETECTION,320.0,36.83925400036969,,0.0,0.0,0.0,0.05210526315789474
PageHinkley,960.0,36.62663399882149,,0.0,1.0,0.0,0.05210526315789474
RDDM,64024.0,42.94565099917236,,0.0,3.0,0.0,0.05210526315789474
SeqDrift2,30272.0,51.98286099766847,,0.0,1.0,0.0,0.05210526315789474
ADWIN,6624.0,71.99492500149063,,0.0,1.0,0.0,0.05210526315789474
BWAF,1024.0,103.16672800036031,,0.0,3.0,0.0,0.05210526315789474
CDDM,8944.0,103.90468200057512,,0.0,0.0,0.0,0.05210526315789474
CUSUM,880.0,37.017295999248745,,0.0,1.0,0.0,0.05210526315789474
DDM,904.0,37.618012000166345,,0.0,5.0,0.0,0.05210526315789474
EDDM,1472.0,33.40488799949526,,0.0,5.0,0.0,0.05210526315789474
EWMA,960.0,39.83952399721602,,0.0,4.0,0.0,0.05210526315789474
FHDDM,1744.0,39.100664002035046,,0.0,1.0,0.0,0.05210526315789474
FHDDMS,1920.0,50.47646400271333,,0.0,1.0,0.0,0.05210526315789474
FHDDMS.add,1224.0,40.03096700034803,,0.0,0.0,0.0,0.05210526315789474
HDDM.A.test,1296.0,49.599664998822846,,0.0,1.0,0.0,0.05210526315789474
HDDM.W.test,2520.0,52.4116580018017,,0.0,1.0,0.0,0.05210526315789474
MDDM.A.100,1976.0,88.56377600022824,,0.0,1.0,0.0,0.05210526315789474
MDDM.E.100,1968.0,68.25299900083337,,0.0,1.0,0.0,0.05210526315789474
MDDM.G.100,1968.0,67.43253600143362,,0.0,1.0,0.0,0.05210526315789474
NO_DETECTION,320.0,34.56387099868152,,0.0,0.0,0.0,0.05210526315789474
PageHinkley,960.0,35.58073800013517,,0.0,1.0,0.0,0.05210526315789474
RDDM,64024.0,39.24162799739861,,0.0,3.0,0.0,0.05210526315789474
SeqDrift2,30272.0,46.31354299999657,,0.0,1.0,0.0,0.05210526315789474
ADWIN,6568.0,65.19552200188627,,0.0,1.0,0.0,0.05210526315789474
BWAF,1024.0,99.13394400064135,,0.0,2.0,0.0,0.05210526315789474
CDDM,8944.0,91.8531460010854,,0.0,0.0,0.0,0.05210526315789474
CUSUM,880.0,36.49297199808643,,0.0,1.0,0.0,0.05210526315789474
DDM,904.0,37.678035001590615,,0.0,3.0,0.0,0.05210526315789474
EDDM,1472.0,35.14122100023087,,0.0,1.0,0.0,0.05210526315789474
EWMA,960.0,40.038270999502856,,0.0,5.0,0.0,0.05210526315789474
FHDDM,1744.0,35.925863001466496,,0.0,0.0,0.0,0.05210526315789474
FHDDMS,1920.0,50.784736002242425,,0.0,0.0,0.0,0.05210526315789474
FHDDMS.add,1216.0,39.90780299864127,,0.0,1.0,0.0,0.05210526315789474
HDDM.A.test,1296.0,49.67828399821883,,0.0,1.0,0.0,0.05210526315789474
HDDM.W.test,2520.0,52.209630001016194,,0.0,0.0,0.0,0.05210526315789474
MDDM.A.100,1976.0,96.60010600055102,,0.0,1.0,0.0,0.05210526315789474
MDDM.E.100,1968.0,65.55876199854538,,0.0,1.0,0.0,0.05210526315789474
MDDM.G.100,1968.0,69.52705400181003,,0.0,0.0,0.0,0.05210526315789474
NO_DETECTION,320.0,33.89484400031506,,0.0,0.0,0.0,0.05210526315789474
PageHinkley,960.0,35.523390000889776,,0.0,1.0,0.0,0.05210526315789474
RDDM,64024.0,40.133328999218065,,0.0,2.0,0.0,0.05210526315789474
SeqDrift2,30272.0,44.94167700249818,,0.0,1.0,0.0,0.05210526315789474
ADWIN,6656.0,64.920852000796,,0.0,1.0,0.0,0.05210526315789474
BWAF,1024.0,113.80152699712198,,0.0,3.0,0.0,0.05210526315789474
CDDM,8944.0,98.30179699929431,,0.0,0.0,0.0,0.05210526315789474
CUSUM,880.0,35.973580001154914,,0.0,1.0,0.0,0.05210526315789474
DDM,904.0,37.21622000011848,,0.0,3.0,0.0,0.05210526315789474
EDDM,1472.0,34.838072999264114,,0.0,4.0,0.0,0.05210526315789474
EWMA,960.0,41.0889339982532,,0.0,9.0,0.0,0.05210526315789474
FHDDM,1744.0,36.45134600083111,,0.0,0.0,0.0,0.05210526315789474
FHDDMS,1920.0,50.7109930003935,,0.0,1.0,0.0,0.05210526315789474
FHDDMS.add,1224.0,39.67901299984078,,0.0,1.0,0.0,0.05210526315789474
HDDM.A.test,1296.0,52.57591400004458,,0.0,1.0,0.0,0.05210526315789474
HDDM.W.test,2520.0,52.96792900116998,,0.0,1.0,0.0,0.05210526315789474
MDDM.A.100,1976.0,87.21215100013069,,0.0,1.0,0.0,0.05210526315789474
MDDM.E.100,1968.0,66.31351499891025,,0.0,0.0,0.0,0.05210526315789474
MDDM.G.100,1968.0,66.4383950024785,,0.0,1.0,0.0,0.05210526315789474
NO_DETECTION,320.0,33.237212999665644,,0.0,0.0,0.0,0.05210526315789474
PageHinkley,960.0,36.08007300135796,,0.0,1.0,0.0,0.05210526315789474
RDDM,64024.0,39.091087000997504,,0.0,2.0,0.0,0.05210526315789474
SeqDrift2,30272.0,45.508961000450654,,0.0,1.0,0.0,0.05210526315789474
ADWIN,6568.0,65.29322600181331,,0.0,1.0,0.0,0.05210526315789474
BWAF,1024.0,97.95567100081826,,0.0,3.0,0.0,0.05210526315789474
CDDM,8944.0,93.97417500076699,,0.0,0.0,0.0,0.05210526315789474
CUSUM,880.0,39.83926600267296,,0.0,1.0,0.0,0.05210526315789474
DDM,904.0,40.855354996892856,,0.0,8.0,0.0,0.05210526315789474
EDDM,1440.0,33.81020999950124,,0.0,5.0,0.0,0.05210526315789474
EWMA,960.0,40.66973899898585,,0.0,6.0,0.0,0.05210526315789474
FHDDM,1744.0,43.1546050022007,,0.0,0.0,0.0,0.05210526315789474
FHDDMS,1920.0,51.84824499883689,,0.0,0.0,0.0,0.05210526315789474
FHDDMS.add,1224.0,40.12179500205093,,0.0,0.0,0.0,0.05210526315789474
HDDM.A.test,1296.0,48.986530000547646,,0.0,1.0,0.0,0.05210526315789474
HDDM.W.test,2520.0,54.22945000100299,,0.0,0.0,0.0,0.05210526315789474
MDDM.A.100,1976.0,88.6639849995845,,0.0,1.0,0.0,0.05210526315789474
MDDM.E.100,1968.0,63.35203600247041,,0.0,1.0,0.0,0.05210526315789474
MDDM.G.100,1968.0,67.55809700189275,,0.0,1.0,0.0,0.05210526315789474
NO_DETECTION,320.0,43.66610799843329,,0.0,0.0,0.0,0.05210526315789474
PageHinkley,960.0,36.86525000011898,,0.0,1.0,0.0,0.05210526315789474
RDDM,64024.0,42.30795500188833,,0.0,2.0,0.0,0.05210526315789474
SeqDrift2,30272.0,45.296396001504036,,0.0,1.0,0.0,0.05210526315789474
ADWIN,6568.0,64.7649390011793,,0.0,1.0,0.0,0.05210526315789474
BWAF,1024.0,99.59700900071766,,0.0,3.0,0.0,0.05210526315789474
CDDM,8944.0,92.19621000011102,,0.0,0.0,0.0,0.05210526315789474
CUSUM,880.0,36.369659999763826,,0.0,1.0,0.0,0.05210526315789474
DDM,904.0,45.43155799910892,,0.0,3.0,0.0,0.05210526315789474
EDDM,1472.0,33.70559999893885,,0.0,4.0,0.0,0.05210526315789474
EWMA,960.0,39.897115999337984,,0.0,7.0,0.0,0.05210526315789474
FHDDM,1744.0,37.21335500085843,,0.0,1.0,0.0,0.05210526315789474
FHDDMS,1920.0,51.55251700125518,,0.0,1.0,0.0,0.05210526315789474
FHDDMS.add,1224.0,40.67044999828795,,0.0,0.0,0.0,0.05210526315789474
HDDM.A.test,1264.0,49.83526499927393,,0.0,1.0,0.0,0.05210526315789474
HDDM.W.test,2520.0,52.24697399899014,,0.0,0.0,0.0,0.05210526315789474
MDDM.A.100,1976.0,91.4551300011226,,0.0,1.0,0.0,0.05210526315789474
MDDM.E.100,1968.0,79.31703999929596,,0.0,1.0,0.0,0.05210526315789474
MDDM.G.100,1968.0,69.84070000180509,,0.0,0.0,0.0,0.05210526315789474
NO_DETECTION,320.0,32.700877000024775,,0.0,0.0,0.0,0.05210526315789474
PageHinkley,960.0,35.442908003460616,,0.0,1.0,0.0,0.05210526315789474
RDDM,63976.0,39.1968040021311,,0.0,3.0,0.0,0.05210526315789474
SeqDrift2,30272.0,45.271051003510365,,0.0,1.0,0.0,0.05210526315789474
ADWIN,6624.0,65.82250900100917,,0.0,1.0,0.0,0.05210526315789474
BWAF,1024.0,99.47477099922253,,0.0,3.0,0.0,0.05210526315789474
CDDM,8944.0,124.47434600107954,,0.0,0.0,0.0,0.05210526315789474
CUSUM,880.0,49.311670001770835,,0.0,1.0,0.0,0.05210526315789474
DDM,904.0,36.9181429996388,,0.0,2.0,0.0,0.05210526315789474
EDDM,1472.0,33.92825799892307,,0.0,4.0,0.0,0.05210526315789474
EWMA,960.0,39.698702003079234,,0.0,5.0,0.0,0.05210526315789474
FHDDM,1744.0,36.98883399920305,,0.0,0.0,0.0,0.05210526315789474
FHDDMS,1920.0,51.05170499882661,,0.0,0.0,0.0,0.05210526315789474
FHDDMS.add,1224.0,40.3095410001697,,0.0,1.0,0.0,0.05210526315789474
HDDM.A.test,1296.0,49.23743600011221,,0.0,1.0,0.0,0.05210526315789474
HDDM.W.test,2520.0,52.19206999754533,,0.0,2.0,0.0,0.05210526315789474
MDDM.A.100,1976.0,92.38487499897019,,0.0,0.0,0.0,0.05210526315789474
MDDM.E.100,1968.0,65.41636100155301,,0.0,0.0,0.0,0.05210526315789474
MDDM.G.100,1968.0,67.58455100134597,,0.0,1.0,0.0,0.05210526315789474
NO_DETECTION,320.0,33.70913199978531,,0.0,0.0,0.0,0.05210526315789474
PageHinkley,960.0,35.54457000063849,,0.0,1.0,0.0,0.05210526315789474
RDDM,64024.0,39.797563000320224,,0.0,1.0,0.0,0.05210526315789474
SeqDrift2,30272.0,45.7338680025714,,0.0,1.0,0.0,0.05210526315789474
ADWIN,6632.0,65.85148600061075,,0.0,1.0,0.0,0.05210526315789474
BWAF,1024.0,105.24440199878882,,0.0,3.0,0.0,0.05210526315789474
CDDM,8944.0,94.26353899834794,,0.0,0.0,0.0,0.05210526315789474
CUSUM,880.0,36.379293000209145,,0.0,1.0,0.0,0.05210526315789474
DDM,904.0,37.35246699943673,,0.0,3.0,0.0,0.05210526315789474
EDDM,1376.0,34.43384199999855,,0.0,6.0,0.0,0.05210526315789474
EWMA,960.0,40.196435002144426,,0.0,5.0,0.0,0.05210526315789474
FHDDM,1744.0,37.66013799759094,,0.0,1.0,0.0,0.05210526315789474
FHDDMS,1920.0,52.03652399723069,,0.0,0.0,0.0,0.05210526315789474
FHDDMS.add,1224.0,50.35811800189549,,0.0,0.0,0.0,0.05210526315789474
HDDM.A.test,1264.0,49.297317000309704,,0.0,1.0,0.0,0.05210526315789474
HDDM.W.test,2520.0,51.39423199943849,,0.0,0.0,0.0,0.05210526315789474
MDDM.A.100,1976.0,86.77290699779405,,0.0,1.0,0.0,0.05210526315789474
MDDM.E.100,1968.0,65.51455299995723,,0.0,1.0,0.0,0.05210526315789474
MDDM.G.100,1968.0,66.99142599973129,,0.0,1.0,0.0,0.05210526315789474
