Experiment,Parameter,Outcome,Memory,Runtime,Detection delay,TP,FP,FN
CDDM,0.0,,8944.0,95.30386899859877,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,36.26458000144339,255.0,0.0,1.0,1.0
DDM,0.0,,904.0,37.045646997285075,2.0,1.0,2.0,0.0
EDDM,0.0,,1472.0,35.73717799736187,132.0,1.0,5.0,0.0
EWMA,0.0,,960.0,39.76131699891994,5.0,1.0,3.0,0.0
FHDDM,0.0,,1744.0,37.00612100146827,255.0,0.0,1.0,1.0
FHDDMS,0.0,,1920.0,52.29197600056068,255.0,0.0,1.0,1.0
FHDDMS.add,0.0,,1224.0,39.46906700002728,255.0,0.0,1.0,1.0
HDDM.A.test,0.0,,1296.0,49.79830899901572,76.0,1.0,0.0,0.0
HDDM.W.test,0.0,,2520.0,52.51638299887418,255.0,0.0,0.0,1.0
MDDM.A.100,0.0,,1976.0,88.61484799854225,242.0,1.0,0.0,0.0
MDDM.E.100,0.0,,1968.0,64.90646100064623,255.0,0.0,1.0,1.0
MDDM.G.100,0.0,,1968.0,68.62735499817063,255.0,0.0,1.0,1.0
NO_DETECTION,0.0,,320.0,34.44685500289779,255.0,0.0,0.0,1.0
PageHinkley,0.0,,960.0,35.48459100056789,255.0,0.0,1.0,1.0
RDDM,0.0,,64024.0,39.86861200246494,5.0,1.0,0.0,0.0
SeqDrift2,0.0,,30272.0,46.30960600115941,199.0,1.0,0.0,0.0
ADWIN,0.0,,6592.0,65.6236720024026,55.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,100.53924300154904,10.0,1.0,1.0,0.0
CDDM,0.0,,8944.0,93.19540199794574,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,36.70685000179219,255.0,0.0,1.0,1.0
DDM,0.0,,904.0,39.44529100044747,20.0,1.0,0.0,0.0
EDDM,0.0,,1472.0,34.851971999160014,127.0,1.0,5.0,0.0
EWMA,0.0,,960.0,40.526164000766585,10.0,1.0,1.0,0.0
FHDDM,0.0,,1744.0,36.52878899811185,255.0,0.0,0.0,1.0
FHDDMS,0.0,,1920.0,55.939575999218505,255.0,0.0,0.0,1.0
